compound.name,id.zhulab,id.pubchem,ref.mz,rt,polarity
3-Methoxy-4-Hydroxyphenylglycol Sulfate,L0228,3035420,263.0231,0.61,negative
1-Methylxanthine,L0216,80220,165.0418,1.79,negative
N-Acetyl-L-phenylalanine,L0086,74839,206.0822,2.87,negative
5-Hydroxyhexanoic acid,S0266,170748,131.0713,3.81,negative
5-Hydroxymethylcytidine,L0264,14367004,272.0889,4.56,negative
Sebacic acid,S0193,5192,201.1132,5.34,negative
Suberic acid,S0214,10457,173.0819,5.86,negative
N-Acetyl-L-aspartic acid,S0246,65065,174.0408,6.46,negative
N-carbamoyl-L-aspartate,L0084,93072,175.036,6.95,negative
UDP-D-glucuronate,L0081,17473,579.027,7.94,negative
