name,mz,rt,W03.01,W03.02,W03.03,W03.04,W03.05,W03.06,W03.07,W03.08,W03.09,W03.10,W30.01,W30.02,W30.03,W30.04,W30.05,W30.06,W30.07,W30.08,W30.09,W30.10
0,60.99277,18.988,533004,454183,454780,521210,413045,257587,403866,366374,486901,301730,419333,308194,353977,389843,347619,322896,431836,328237,349372,329985
1,61.79961,0.965,154978,200642,137557,105551,139532,205945,211668,196319,208880,217456,139788,216601,192206,229958,176336,198124,178998,182649,201365,234591
2,61.98829,1.54,8990001,8273487,12597086,8345660,12245456,12140688,6437342,9057469,5366973,12831235,8385113,14073397,2642195,8724355,10153159,7273414,6700818,8164838,11151302,4718789
3,61.98833,0.963,30993774,36365904,36175688,22028786,29016160,37253260,38923868,36400100,37386092,38760620,34775920,43862044,37051064,41825396,30805758,34846300,35365536,35029724,36839872,43006508
4,61.98893,4.875,1593445,1466317,1917449,2272991,1661864,1758066,1728279,2472060,653116,1600950,1647459,2401574,1718313,1683324,1759477,1570264,1493432,1663751,1771449,1575995
5,61.98992,8.995,1952521,1777157,1826322,2085932,2183386,2073520,1909228,2427701,1715693,1790108,1626298,2114982,1484470,1615426,2158368,2056721,1740874,1702442,2003786,1712888
6,61.98996,10.505,3491526,3140065,3758049,3718012,3595790,4295802,3429997,4583690,3542055,3704719,2944020,4634560,3479790,2991707,3852730,3202796,3255921,2866115,2460670,3228496
7,61.98999,11.162,2138350,4084650,3768532,2044736,1670815,1902730,3876848,2042551,1764507,3677566,2079853,3600907,1971822,4107918,2274864,2239927,4055995,1669236,2705308,1795244
8,62.34446,0.95,6392,43995,19475,51,5255,41079,55685,32473,46776,46129,39673,45843,47351,53570,29424,36455,41806,41164,33594,60474
9,63.99129,0.967,202546,279438,215718,144841,196316,283625,302152,274011,285166,296702,232528,329080,259384,286117,220820,268771,275999,270505,277598,328107
10,64.00574,0.912,26168,62747,24097,6282,32658,30651,20487,26202,10227,66330,65368,48470,51274,59448,44976,70352,58442,18757,61358,80204
11,65.01418,0.622,238353,204065,1348,729,228752,73281,26307,78199,3846,250621,257130,141239,204486,256687,178181,233370,246642,57893,237283,294730
12,65.01419,0.91,992667,1397202,644,849,830523,595098,297557,484991,69887,1299549,1483580,990813,1029749,1354090,984751,1247482,1269020,524963,1230630,1477826
13,65.01505,0.734,118265,117349,265,729,69929,14239,427,11624,544,77838,79713,64421,123288,100944,98459,145140,118814,17232,163246,134949
14,65.79594,0.644,7282,4557,0,40,5505,2302,1016,2321,151,5883,7427,7544,7160,11608,8902,11153,9811,2617,11820,13870
15,65.99865,0.645,1978168,1324187,5803,30824,1422294,627977,276095,565679,62649,1345966,1926217,1667079,1545681,2432730,1945478,2338554,2289219,679549,2539963,2791905
16,66.0078,1.068,51213,71443,70173,75511,76676,65862,62572,62534,68124,66652,48901,71386,73379,67200,70106,79466,67136,73818,24705,79408
17,67.02853,1.114,11048,9107,305,340,8175,3675,1441,2816,282,7204,9047,6059,7284,9479,6900,8879,8018,2924,7841,7833
18,68.01282,1.241,118768,96047,0,594,112445,41607,22767,42462,2388,102023,65985,102743,111860,146513,118295,140935,147908,41272,162425,185389
19,68.01476,0.969,128305,140266,2,20,115103,27977,8989,32555,303,149113,136060,72143,107824,115731,103354,145583,133668,24524,156677,137306
20,68.78318,0.79,116979,127125,100008,120258,110441,129438,111956,96679,126608,134360,140824,126240,139479,145207,103633,113827,143645,136528,110364,128141
21,68.9951,0.79,22992436,24910528,19744346,24231324,23559156,25917688,22445282,18779926,24296000,26128262,25605150,25569980,26281296,27422836,21480018,22389970,27349572,26928316,21765936,23520612
22,69.03335,10.281,12186,15728,117185,35717,129801,127809,152433,99418,35940,77172,8195,11101,5848,19052,4677,8920,4111,15094,4796,11414
23,69.37296,0.778,28090,41391,26454,31892,26323,43589,24678,23323,26017,28956,41506,28488,19189,31233,17595,15124,41194,24497,26861,28344
24,71.01265,5.029,40140,37311,40476,32414,52907,40549,149350,54342,127610,49078,35955,35399,82570,30273,40047,83448,38311,42859,41698,35800
25,71.01272,1.995,76725,82509,27982,13120,51903,23572,26016,34891,26281,45465,83786,89207,99327,176540,86167,61706,95192,49554,83729,98383
26,71.01296,11.486,10379,10471,6052,10016,6466,8084,8509,5328,8053,8283,6947,11597,9346,14078,10771,12940,12408,9478,10956,14075
27,71.01461,9.299,132548,134235,300847,260386,244241,188773,325755,186249,149844,235728,132431,112878,103704,171261,104305,157685,217577,178851,187088,133170
28,72.97027,9.667,27993,29820,36060,26905,28145,33916,33982,24078,22583,32407,30502,16692,37037,31430,21810,12678,28068,30791,22219,29024
29,72.99402,1.605,972674,744137,2319,8461,578683,197156,182733,221346,50797,739527,885249,1041968,1436573,804794,879083,402151,709533,773293,494453,745799
30,73.02821,0.894,312160,460919,443465,287627,319756,510930,557636,414270,554958,475983,454422,452820,456760,473153,371751,392828,446212,469041,399841,467416
31,73.02832,3.539,604326,591922,450135,94577,307010,437528,432801,406507,505174,509170,573088,563443,411734,482482,495380,188119,541837,481000,363097,492098
32,73.02838,1.051,684156,734496,746208,768199,715805,693645,684917,695297,697127,701392,664241,776398,692644,694335,677986,382729,745416,739731,634270,773551
33,73.0284,0.612,295795,443711,559173,302439,708179,536321,444743,466810,454540,546025,353677,460742,291308,599049,207841,169794,325046,484287,138907,269684
34,73.02942,11.876,609664,857438,672879,661792,734640,612642,751035,498849,694641,723503,523268,806289,585348,783870,587847,705433,709330,869235,685644,775067
35,73.03026,1.373,624905,647134,936639,1073366,646597,665806,759711,796928,708396,655863,676265,702422,746191,659927,562755,606754,612101,657017,666714,719642
36,74.02308,11.514,42832,41626,44717,42590,38948,47207,51137,32958,40967,40213,20195,41030,41907,41374,30616,27702,43875,38509,28832,37907
37,74.02323,11.068,85685,78022,84368,92236,72030,81796,84325,68431,91597,70077,58055,86447,85831,78403,72360,72605,85149,68356,76988,76099
38,75.00753,1.062,22963,17978,9813,12677,15389,11971,32668,17184,20656,21275,16064,25553,11826,75603,18467,15200,28369,20087,10959,22421
39,75.96194,19.121,313320,378734,92689,216640,106588,322955,271520,124133,237255,115145,199585,106368,262548,301206,188181,192119,307704,221863,204926,288372
40,75.96272,1.07,81268,91501,136127,110670,63319,115224,102123,72348,111719,84842,86096,86691,83678,88883,58556,53823,71332,105743,46597,88976
41,76.96906,4.895,163639,212369,247935,211624,206726,190920,253082,226418,136376,177028,196843,178600,179239,190532,147147,148383,171183,187772,134200,183808
42,76.9691,4.518,194149,621854,222515,205757,377189,250574,309610,215720,631379,349810,686476,302073,591709,253702,252367,469647,552649,591382,371161,283339
43,76.96927,19.118,2093392,1281630,936191,1381388,1283113,1528541,1599390,1597032,2037658,1657229,1277101,388912,1385155,1635034,1298852,1194073,1687962,935831,1258629,991527
44,76.97111,1.077,474865,532275,701869,733851,420588,611402,598141,478948,644588,534479,465705,528533,459597,479855,423200,360692,444535,593651,338445,539848
45,76.97117,10.509,717810,382056,504767,418801,393287,419432,707393,639481,479879,568950,302552,491125,403656,360305,687158,276010,417458,295930,302663,508716
46,77.01346,0.608,19132,14801,25,27,15516,4705,1508,6741,174,18712,19729,11434,8457,17335,14565,15845,16521,3415,20495,19801
47,77.03819,3.334,74712,68140,68223,32616,111788,112439,78907,121631,152352,46659,125310,112755,78769,90532,57109,165790,73702,87023,52401,89492
48,78.03568,6.464,97016,59815,91624,91546,52992,90910,62725,44452,88497,40216,70429,91681,109693,93376,81400,72546,108593,100201,81851,90848
49,78.91721,1.524,227151,313006,282621,222813,179804,251660,252992,177135,280741,241127,222088,263451,241919,280276,201783,202820,251473,268997,181038,296513
50,78.95719,10.211,44199,47513,41102,34810,42069,34197,38351,34902,34558,45178,39329,25965,33866,31739,28309,14412,41022,43268,22975,35577
51,78.95844,15.326,1031026,993227,1032958,344697,879579,1042784,1587060,595412,958876,292220,207648,480044,455302,563056,340539,189789,395731,288195,212360,556070
52,78.95849,14.29,240744,208002,230573,230184,222771,223891,253324,175822,267398,332983,172771,216661,177617,225049,158841,165486,171195,226341,189638,256438
53,78.9585,13.423,951592,781354,961396,983425,351883,819309,1145407,216917,1443264,448166,49237,367277,830308,389992,720834,858960,390306,416403,860323,1137378
54,78.95853,12.153,221523,309804,302957,276450,269118,275914,369092,281375,284033,266003,182419,198641,264362,225561,188415,166004,315268,309182,163970,267994
55,78.95858,14.736,1127690,1157682,892601,867203,1230184,452397,1458355,873727,955121,1069620,857497,1392202,505942,1741296,1032756,1533202,1621700,1469890,768094,1832616
56,79.7119,8.891,7021,7100,6967,8367,7025,7290,7885,6799,7685,7046,6581,7430,7467,7241,6822,5990,8134,8138,7055,7742
57,79.95636,13.166,197224,189928,243561,195501,140224,183035,187559,134504,254418,184520,112036,166450,192860,231001,158261,162996,220742,202729,167720,198674
58,79.9564,3.418,290363,264094,475604,623998,474287,442212,426685,341450,430422,403023,326135,235061,139480,316807,198166,325019,129165,319795,227558,322818
59,79.95641,4.96,492122,412861,63707,84039,322444,262029,183882,161875,75555,260877,397099,481274,582252,612813,520493,543295,541754,260872,592574,660810
60,79.95645,0.89,596853,244987,101722,89465,108263,255867,227655,148051,249633,219933,251709,212566,289072,245385,162250,164656,219912,244536,189468,230689
61,79.95816,8.892,1493361,1492195,1541872,1561615,1441228,1507567,1568275,1267948,1472793,1411018,1279747,1472349,1549970,1548629,1373392,1334002,1573886,1567930,1325007,1372196
62,79.9582,2.489,875430,885661,120197,122612,479476,215388,234837,159065,162566,625525,728427,591328,999496,821337,293086,509638,724780,549915,650004,857429
63,80.91497,1.524,231890,315516,283768,219765,185894,268824,259678,171270,292864,242349,222728,270603,246348,285097,197894,198826,265146,255242,181544,304025
