name,mz,rt,W03.01,W03.02,W03.03,W03.04,W03.05,W03.06,W03.07,W03.08,W03.09,W03.10,W30.01,W30.02,W30.03,W30.04,W30.05,W30.06,W30.07,W30.08,W30.09,W30.10
0,60.04458,65.46,72102,59455,61155,75126,70122,69224,71378,69357,76841,63669,71999,44361,71829,68214,46249,73209,39180,70302,47150,44413
1,60.07921,487.92,124220,117089,134748,117222,116787,129138,117582,124574,117542,112126,64263,136636,119736,125756,142278,130580,127754,129261,135510,129017
2,62.05778,586.44,10943,9937,12202,10017,6119,11312,7882,8187,8962,5981,6566,10109,12496,10490,12740,9885,12126,9681,11821,10344
3,62.06028,728.16,18129,25006,24462,24663,31669,25478,23404,27956,21560,33020,327,9224,13759,10514,13640,9334,19107,19344,10181,14575
4,62.98056,641.94,14753,16758,14582,18096,18003,15747,16758,20014,15702,16615,8753,21164,16493,18392,22598,21285,17265,16322,22414,18386
5,67.04201,695.16,16481,16328,16694,19801,16327,19707,17584,19727,18115,15118,10802,17516,16268,17623,16177,9946,14359,17952,18529,14878
6,68.04762,564,141738,148617,193914,154214,150546,193661,174458,117452,175490,165887,62266,151925,155921,191708,134875,134780,163511,161250,130959,161493
7,68.0479,694.86,158573,171982,165931,185563,169561,187873,185445,191220,185114,169136,118826,165136,163369,179192,175428,170813,152302,178475,184666,164198
8,68.04813,684.78,70527,62101,75703,78202,59119,69889,70523,63844,74950,62300,32370,94345,65726,69321,80589,57664,69145,73333,65792,63155
9,68.04961,481.26,23357,28647,25536,23746,38907,36582,41196,34186,40954,42843,3391,37863,28630,43596,32768,30610,23877,39461,38216,29868
10,69.03178,684.72,181394,162288,187964,198937,156747,184717,175418,177185,187652,160180,79467,182179,172591,177537,203612,170405,183907,179515,191930,177527
11,69.0449,109.38,201944,84881,123522,29659,4210,135264,233998,148146,150756,159698,193054,89712,108359,133002,115872,134186,104373,110038,98031,73906
12,69.04494,83.28,120898,53351,73423,49196,19089,64294,180890,73086,100174,97069,6230,43377,78592,62713,39003,45900,61256,59153,36233,41773
13,69.85059,564,27686,30734,40419,31656,31407,39225,35460,22336,34851,32063,11683,29514,27906,34323,27401,25588,30083,30809,25159,32731
14,70.06375,77.76,11618,12362,13346,11896,10166,9137,10861,11055,14989,13980,16550,14752,11287,11936,14294,15846,12762,13411,12555,13664
15,70.06413,564,4897931,5194146,6821479,5449870,5347568,6640286,6071122,4011793,6012765,5535082,1996647,5035342,4776464,5816138,4647054,4423606,5172081,5291634,4306327,5632739
16,70.065,961.38,350034,226732,364269,340037,304235,327483,519223,210826,207122,458558,44666,308341,351644,486452,204388,217692,167879,407689,460974,177745
17,70.06603,536.82,646621,683571,672213,365553,331017,721630,807467,778492,812305,682613,181100,876071,806924,898718,723818,552364,670727,850308,719843,428250
18,70.06616,581.34,1491928,1583940,1560250,1540114,1432975,1620120,1586224,1455605,1435632,1543896,697579,1329002,1069840,1521141,1580980,1492519,1771661,1353915,1567323,1645294
