name,mz,rt,W03.01,W03.02,W03.03,W03.04,W03.05,W03.06,W03.07,W03.08,W03.09,W03.10,W30.01,W30.02,W30.03,W30.04,W30.05,W30.06,W30.07,W30.08,W30.09,W30.10
M57T646,56.99609637,645.77,2163.373478,2177.678112,2959.942217,2368.015481,1088.716364,2536.88476,2590.45982,2001.229889,2112.246615,2289.311938,1306.02735,1831.807561,2765.381512,1198.687412,1688.693034,814.006,1315.777263,2658.85405,1678.49,1634.558947
M58T39,57.97530336,39.326,25420.71714,701189.3543,28271.16048,15799.82488,23663.27283,27265.87454,16320.97217,11989.62857,11870.92583,29441.3303,42051.27404,57310.96005,1345343.015,68427.58743,49474.89022,41480.35714,41812.3647,12162.78,54581.1735,49505.62222
M59T1014,58.83394361,1014.36,793.6542969,569.376,737.478,952.014209,658.92,624.96,801.8428571,538.875,881.4496582,576.288,658.3,843.9105469,1009.36,754.8316667,530.512,825.792,902.52,812,579.644,575.712
M59T1081,58.83303417,1081.46,818.493457,693.4416667,904.6445801,912.5542969,731.4285714,840.18,731.2133333,505.344,983.2160156,618.28,532.8,938.9021484,954.4668945,727.1169434,628.2783333,825.0520752,595.972,792.0516667,795.3718506,872.9641317
M59T1327,58.83391316,1326.555,559.276,356.058,498.7533333,571.494,791.995,421.5333862,355.796,377.28,407.88,481.536,369.158,371.976,312.042,385.402,357.7587891,320.9891357,317.87,278.506,410.8,312.042
M59T1194,58.83418441,1193.51,879.1658203,641.3933333,894.7237305,942.2711182,802.5685714,853.5002441,803.9332031,898.7529053,769.6289063,662.4566667,882.4996582,743.8933333,875.5319824,567.872,477.396,661.7033333,814.7084961,780.7276855,516,606.8
M59T1118,58.83299171,1117.99,545.748,884.4714286,658.01,616.616,720.65,664.68,610.74,681.1055603,783.5904053,683.82,928.2334961,744.3924866,766.65,727.771637,794.9052734,625.6938477,683.82,1269.413333,842.2807617,726.16
M59T1255,58.83330675,1255.185,662.9600525,531.822,862.68,764.725,667.9182434,716.1142857,642.6116943,570.4764404,498.474,795.3942857,905.9485714,847.658,665.4766667,714.7783333,503.622,507.5214286,684.9142857,500.7,565.4942857,731.6171875
M59T1169,58.83399525,1168.815,522.394,751.2,580.2,717.44,866.6430176,898.4675781,589.76,893.9759766,2369.977143,906.5828571,686.748,1555.282857,815.7,785.0379639,973.1822222,605.834,644.166,834.6660645,846.9985107,936.8111328
M59T1295,58.83379974,1295.155,366.8933919,481.0180664,593.1658936,548.8457143,297.9012451,523.0944824,429.942,474.88,299.728,430.2375,357.858,404.9645996,455.094,479.553772,570.8266667,308.56,366.014,453.7792155,427.5214844,544.0054321
M59T970,58.83376907,969.719,1307.295,955.9063517,1214.016235,1064.577026,1411.4888,1340.550308,646.6288,1107.987488,647.3376,663.936,957.8301429,670.6467692,927.0288,584.4032,1366.12,1067.770538,1251.067464,1143.071429,683.1321429,1424.366699
M59T525,58.83300045,524.793,1210.841064,1119.6,926.3381348,1647.996,1219.044571,1046.265,928.5681152,1016.728861,1380.092,927.8368,1254.788086,1398.010274,1117.337585,1182.3514,1009.53479,1595.048,1029.651693,1015.30332,884.6758118,1730.784
M59T1296,59.01389677,1295.79,143863.506,167638.1422,96409.974,132317.3333,95498.738,114608.3206,124067.4903,127667.34,130685.176,231461.2769,145824.0374,169358.55,133258.2385,97939.792,124163.068,101229.7041,146903.2143,130291.4075,139922.1694,75790.19971
M59T1359,59.01393597,1358.84,224951.0575,90473.25,267846.792,89896.224,118615.9143,216604.7943,197385.0118,216573.6898,236089.1353,86842.084,220917.1368,218913.0991,248191.4347,212028.9217,197487.5428,195530.2409,225734.6506,226709.55,216584.9179,221953.7769
M60T1365_1,59.96711857,1364.54,909.9426087,7491.113342,260.952,556.2114286,6285.717146,477.192,295.416,416.29,6826.045471,6192.205714,726.58,285.58,798.525,428.26,6109.233398,406.224,515.4683333,785.0666667,363.792,1044.032727
M60T1320,59.96685721,1320.475,281.96,659.84,8503.545125,672.7625,865.75125,494.2,327.624,364.584,674.724,552.5,351.604,510.0157143,462,8980.997635,268.026,693.28125,288.462,421.0071429,345.84,1149.057778
M60T1265,59.96690393,1264.96,506.7014286,6383.828027,7825.442891,624.4,328.56,7171.524658,468.16,280.32,520.8,419.52,594.5085714,495.1466667,410.04,489.9671429,399,6169.022827,321.198,557.4514286,7622.139506,6388.267188
M60T1291,59.96672388,1290.805,2872.413208,930.1308333,529.938,457.686,556.032,488.796,3470.020508,441.056,5072.047516,5315.98,4388.674713,4234.581299,4238.284607,603.2,479.26,598.5942857,5725.294474,4596.563965,629,823.6566667
M60T1094,59.96618887,1094.005,362.79,9005.869425,8883.168701,501.315,338.4,446.4,325.67,9272.789958,9555.014079,758.8851163,8600.076986,9781.275492,532.38,379.848,8797.920064,346.865,335.478,344.81,8971.231588,352.0266667
M60T1220,59.9672503,1219.58,285.692,296.7,231.332,6813.485107,370.5366667,412.8171429,6682.895508,301.9371429,225.884,6473.48,273,7217.01828,361.08,285.692,450.512,277.648,347.36,388.07,6670.27832,306
M60T1173_1,59.96764646,1173,263.1,9855.577881,510.4483333,11614.95679,9790.069092,560.7171429,10122.24792,10629.20003,10183.69409,689.9657143,9295.961833,377.79,363.784,495.5485714,428.4,10721.06707,477.5383333,556.2,796.152,411
M60T1020,59.96737109,1020.35,334.08,8473.100537,318.696,8953.91875,8659.304187,387.03,344.8466667,290.1333333,9597.151611,7779.044,403.9375,396.8142857,8777.468164,412.6628571,273.56,335.62,432.97,393.8633333,275.616,299.3
M60T1138,59.96617098,1138.49,10727.72314,12083.54883,11934.80382,633.555,12885.56744,12032.67545,793.3482353,12278.6499,10976.37938,384.25,11587.21161,12909.33789,309.888,441.76,315.24,11567.63635,378.584,353.682,11371.38739,13184.55546
M60T981,59.96763059,981.225,6258.194,292.8568333,8200.51759,8232.210938,8896.866284,6903.262344,8123.600311,347.9657143,8336.349268,502.6734,7811.554102,319.022,8640.60592,265.167,279.8652857,203.181,477.8872,8222.998499,7207.907379,7963.265503
M60T1348,59.98445643,1347.52,4016.57782,4707.576001,291.5911111,328.7004,5239.670605,157.82,5088.883081,183.4875,427.8857143,261.6422222,230.298,4560.626685,165.322,149.424,3735.518066,4113.402319,152.95,140.448,4167.316187,5001.78479
M60T1022,59.98470731,1022.01,154.176,177.828,223.17,273.125,147.46,9434.516174,8989.241638,8131.272461,237.8,266.51,321.9031579,207.7142857,8341.495752,293.5733333,136.8,8409.248108,7679.487305,6564.67482,7807.399585,9350.893148
M60T1227,59.98455707,1226.905,441.6,253.2,473.1,8469.719141,324.3985714,458.1866667,353.5866667,263.736,7702.340967,357.5571429,280.2,9448.437988,9240.216146,359.8566667,224.7,7971.067773,8024.351514,595.35,240.784,528.5555556
M60T1264,59.98467097,1264.37,5010.939789,382.8,5387.829651,6261.072632,5369.192413,355.395,4916.747925,6658.172705,5090.324249,324.1542857,260.4,5155.058716,316.798,592.0707692,222.305,319.872,250.04,393.68,4419.164225,5166.625214
M60T1119,59.98517864,1118.58,152.424,7492.647119,7954.79126,168.2733333,8214.88374,307.664,6944.127319,124.96,8410.181152,144.576,7985.446875,134.9,299.8666667,7907.86958,7762.032349,8893.849447,8376.343701,7718.951367,136.67,7567.213403
M60T1301,59.98447326,1301.48,169.812,8932.454834,9156.641321,11035.98904,9185.722738,424.575,8647.313043,212.132,8969.017578,137.1133333,221.6316667,9831.927083,551.808,171.7857143,6988.077989,8635.622314,177.374,210.91,272.285,213.98
M60T1173_2,59.98461877,1172.565,9874.41569,9604.255697,395.2916667,211.68,9006.866187,8198.830225,353.1,8500.413428,8738.263021,392.48,8075.775854,9159.64375,253.602,8108.360352,243.726,9470.236308,330.566,280.8,198.024,362.1766667
M60T1194,59.98458065,1193.525,267.27,8041.586914,355.7442857,6807.719849,576.904,318.562,7717.988281,367.9425,369.222,419.7833333,7640.035645,8547.476733,6672.495728,292.2,8677.816772,7876.554785,7944.299854,6261.873627,8177.268848,8195.699316
M60T1365_2,60.01604922,1365.34,3520.104,6503.68,4200.194286,4531.442857,5256.48,6927.157,3820.176667,6535.148346,7539.236545,3129.984,4967.337143,8160.689874,3058.588,5455.391667,6810.559082,5786.997818,7568.966667,7345.161438,3039.96,8380.104615
M60T1317,60.01602515,1316.67,5022.59125,3755.71701,6381.6375,4518.150635,5168.67605,4185.683333,4617.6375,3569.949921,5354.2125,3193.06,3633.680237,5067.700586,5820.688889,5477.5875,3474.578156,3768.421143,6169.04,4418.733333,3909.705688,7014.936667
M60T1012,60.01696527,1012.29,9250.97168,6745.11,11137.851,11975.10069,11331.23683,5586.848,10412.53967,9791.57429,5584.82,6808.62,10632.68441,11438.42133,11018.61114,10871.48335,11764.19994,10204.53315,10483.81089,5378.348,9062.594055,11297.70656
