name,mz,rt,plasma_01,plasma_02,plasma_03,plasma_04,plasma_05,plasma_06
M70T565,70.31287205,565.096,439087.4344,584972.0956,440752.0332,749788.6121,619800.6498,516528.3102
M70T647,70.33789703,646.78,578120.8871,451347.0027,394429.6659,406924.1226,441148.5119,385469.9867
M70T36,70.33786005,35.79255,6376781.599,7170469.221,6876499.761,6836985.79,6654760.526,6713459.925
M70T35,70.44930322,35.4242,907255.782,893934.5263,936816.1276,1036144.32,776512.5304,1007978.396
M71T49,71.01384236,49.2992,11655353.17,11620885.44,10629890.41,10456122.06,10676976.38,9811507.871
M71T127,71.05022162,127.178,9418222.296,9052589.558,9053231.739,4480066.491,4895133.043,4567263.183
M71T172,71.05022784,172.157,1902364.864,1835484.431,2067563.708,1784605.451,1884987.25,1966824.101
M72T99,72.00906605,98.55815,6749608.855,6195518.62,6148725.548,6051026.163,6609055.613,6267813.432
M72T659,72.00911613,658.682,684373.4081,1050449.472,819924.3855,807905.6681,719500.4966,350647.003
M73T205,72.80351539,205.0705,521880.1459,457291.909,455139.3088,471437.7623,355204.3784,534175.5498
M73T89,73.01172802,89.2358,870374.6315,869980.319,932018.096,725586.8261,5972077.387,810701.5787
M73T71,73.02949803,70.50545,23459504.35,23053503.24,22781041.26,52984854.08,21540046.52,22675526.81
M73T352,73.02948904,352.1155,20074737.52,19546175.88,19809937.99,19462812.99,18956850.54,18555958.04
M73T90,73.0294982,89.8978,14169254.31,12734139.56,13324676.72,12563126.55,12206454.04,13806157.59
M73T327,73.02948672,327.314,8195270.092,5639229.502,6596475.484,8008282.991,6425335.179,5182606.692
M74T205,74.02484395,205.245,1978681.37,1724983.424,1623108.353,2760565.147,1645102.99,1972854.608
M74T42,74.02473155,41.76095,5749130.857,4649531.331,5038550.298,4727608.383,4783245.181,4322950.498
M74T352,74.03285743,352.108,488332.749,472718.6106,511085.8931,548360.1602,430132.9464,379781.2097
M74T71,74.03286518,70.52475,509069.5424,406150.1964,464946.1901,521001.2091,686556.6039,559864.2445
M74T582,74.28895832,581.615,483889.4675,481551.9981,453015.603,321478.9056,457408.99,538413.6741
M75T71,74.96189695,70.5256,2147742.002,2322936.48,335821.8363,472929.1108,216565.4973,275476.7816
M75T453,74.99075175,452.6885,1582427.146,1616287.199,2474866.702,3844777.781,5103193.535,5914309.121
M75T405,74.98978239,405.034,797843.6128,863609.608,1056055.996,245441.2946,338220.6106,401531.9265
M75T35,75.0032083,34.5496,594847.2029,728734.0995,742304.2019,388585.3121,552271.1111,294674.2943
M76T541,75.80898915,541.09,418774.9953,662960.6698,485365.4769,583362.4465,611138.5086,523189.3872
M76T560,76.39451616,560.1325,0,268413.7647,182946.1714,286647.1558,308712.6045,403717.8178
M77T42,76.95424726,41.9892,5505882.461,12623872.95,6512185.411,5916017.311,12634259.77,12570515.53
M77T651,77.44373943,651.388,1367188.657,1339216.72,1470926.09,1389783.38,1284004.207,1353052.136
M78T592,77.79293561,591.906,2461511.975,1802728.984,1672358.268,2134218.233,1774354.696,1523284.527
M79T47,78.91888284,46.6287,33008163.9,32343329.5,15847062.97,25507202.32,32323190.46,32119294.77
M79T676,78.95907209,675.891,15510908.91,23338864.61,15422571.12,5148607.842,5631060.883,34371076.62
M79T28,78.95905775,28.0115,13891141.06,9571283.916,5296175.135,14142431.14,4330953.266,8918619.056
M79T657,78.95907062,657.335,3372614.615,2455209.378,2741178.855,2380485.059,1818446.1,2365318.53
M79T69,78.95907913,68.5149,20601581.23,21181094.19,16586677.06,14885051.64,264127.2876,85950670.38
M79T647,79.44944417,646.78,307764.8081,290667.9583,267234.3574,279377.8164,312064.366,233891.7778
M79T35,79.44940219,35.4242,5000548.236,5701503.969,5674283.569,5389400.723,5419775.861,5287956.603
M80T35,79.56084277,35.4242,846991.3826,859304.9777,973279.0631,1020059.802,1018030.379,988002.1228
M80T324,79.95721765,323.661,60670933.48,57336871.54,59086042.88,61916776.86,59700021.39,59570700.36
M80T265,79.9572519,264.987,9686558.313,9658200.423,11082359.17,9343044.114,11099519.18,10339071.44
M80T642,79.95747404,641.7995,4121263.036,10855912.18,7418500.887,13283647.85,11494217.59,6782910.127
M80T389,79.9560288,388.511,711073.9173,809449.24,671034.586,615992.6166,1917017.461,659236.6464
M80T287,79.95741452,286.559,6962970.597,7027778.178,6877397.265,7395657.258,7759472.924,8801138.361
