name,mz,rt,plasma_01,plasma_02,plasma_03,plasma_04,plasma_05,plasma_06
M70T672,70.01255814,671.568,1293603689,691315802,914096021,1134532557,1074920499,528164374.8
M70T201,70.01254886,201.0735,370950493.3,259819886.1,452956929.3,275359.4217,549886797.5,383338721.8
M70T652,70.01256145,652.239,1673051208,1379838752,1475354563,1487531491,2345870094,1592262215
M70T688,70.01256264,687.613,998576171.5,598621250.6,758756979.3,636197556.7,1007043736,582235631.7
M70T709,70.01256133,708.967,446019503.7,487982224.2,399259622.1,468666237.6,339108477.5,667261469.9
M70T77,70.01256788,77.416,808737121.2,890468158.7,2650925.591,2980680.827,507223049.7,501480652.7
M70T44,70.06510259,44.0051,17028732.89,16562507.5,18003975.91,20083957.3,16580247.39,19157486.25
M70T59,70.07321365,59.45135,1299387.798,1184873.288,1363797.408,2003779.739,1742757.481,1420336.85
M71T673,70.51424355,672.5275,1044951.988,71244586.46,31249577.22,58897053.83,39300028.52,24085020.34
M71T652_1,70.51424483,651.7115,93224022.14,72254210.57,54864556.77,75393871.11,97547742.67,71661023.82
M71T710_1,70.51425166,710.02,13194841.38,14948696.66,12697230.77,27849909.57,36923909.88,32716211.41
M71T688,70.51425665,687.9205,44087119.25,41123984.51,36467293.11,17962330.02,23045087.12,21003047.83
M71T201,70.51424482,200.703,14440648.52,13408293.1,15634521.95,20978809.99,23194988.4,13578551.64
M71T234,70.51423079,234.289,19615827.07,20185848.07,16665475.53,18962312.11,19530635.55,22069594.17
M71T75,70.51425205,75.4171,35743847.71,20764794.27,112291.0232,26919026.46,43063764.78,303683.1004
M71T213,70.51423982,213.257,22651760.42,46217663.22,23744273.7,23326714.28,20549555.75,36781022.89
M71T288,70.51421832,287.5505,13683528.45,25286875.91,42759649,24134416.78,17226454.81,30265939.05
M71T329,70.5142253,328.8615,18196699.76,15063071.36,13443253.28,14458308.67,16462097.17,11089472.86
M71T304,70.51423506,304.048,29639001.55,21711051.92,20720313.22,21981661.31,21183806.82,19737071.04
M71T689_1,70.95786314,688.888,14839008.23,5529454.688,7917424.847,3274479.6,14498179.18,5351629.387
M71T53,70.98041895,53.1071,2748958.709,3098969.233,3215576.906,2660253.185,3222090.663,2832684.903
M71T36,71.00020032,35.7622,2875626.891,2918045.105,2678657.887,2883679.371,3055261.3,2844696.432
M71T652_2,71.01057958,652.35,11876813.76,10534580.91,10350042.07,9938358.944,11488795.06,7612798.738
M71T49_1,71.01275575,49.3612,1155713.139,1415887.185,1216640.926,1000367.009,1102490.575,3422443.158
M71T686,71.01060051,686.311,6557011.274,3148410.836,9643370.991,12275898.13,7103598.741,8782667.805
